                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2024


NAME: Cal Sailing Club
ELEV: 13 feet    LAT: 37-51.55 N    LONG: 122-18.96 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   53.3   55.6  15:33   50.2  21:31   11.7    0.0   4.32   17.6   71.3  22:08    217
 02   49.4   52.3  18:57   45.5  06:04   15.6    0.0   1.34   16.6   51.0  13:43    244
 03   50.1   52.0  13:34   47.7  03:07   14.9    0.0   0.02    9.6   23.3  13:51    237
 04   50.9   54.1  17:35   46.6  03:37   14.1    0.0   0.00    6.5   13.2  16:27    168
 05   54.1   56.8  14:06   50.9  07:25   10.9    0.0   0.00    8.4   19.6  15:17    139
 06   53.8   55.6  00:01   50.7  23:32   11.2    0.0   0.01    5.0   17.9  17:14    243
 07   52.4   58.3  17:20   49.3  06:45   12.6    0.0   0.00    4.3   14.8  15:37    285
 08   53.2   57.6  16:13   48.6  06:35   11.8    0.0   0.00    5.0   18.7  18:13    240
 09   53.1   56.3  13:23   51.3  00:15   11.9    0.0   0.00    6.7   16.7  14:21    226
 10   53.9   57.2  14:52   50.5  06:21   11.1    0.0   0.00    7.9   20.7  21:01    184
 11   52.2   54.9  22:01   47.8  07:28   12.8    0.0   0.01    6.8   19.2  14:20    244
 12   53.8   58.6  16:15   50.0  06:01   11.2    0.0   0.02    9.8   39.0  07:34    176
 13   53.8   61.9  18:37   47.7  05:10   11.2    0.0   0.00    6.6   17.0  14:41    301
 14   60.5   68.5  17:54   55.9  07:36    4.5    0.0   0.00    8.2   42.2  12:28    359
 15   63.5   72.3  18:08   58.8  23:50    1.5    0.0   0.00    6.6   42.6  13:21      8
 16   55.9   59.4  00:04   52.5  07:21    9.1    0.0   0.00    8.3   25.2  20:01    247
 17   53.4   56.5  18:40   50.2  06:28   11.6    0.0   0.00    9.7   23.2  14:41    238
 18   53.6   55.4  18:38   51.8  10:25   11.4    0.0   0.00    9.5   20.8  17:21    231
 19   53.1   56.1  18:25   50.9  07:37   11.9    0.0   0.00    9.2   26.0  15:46    227
 20   53.7   57.7  20:22   52.2  05:19   11.3    0.0   0.00   10.1   26.4  18:12    223
 21   55.6   57.7  12:11   53.6  03:21    9.4    0.0   0.00    7.2   17.4  17:47    230
 22   56.6   62.4  13:19   50.9  22:42    8.4    0.0   0.34    9.5   50.0  15:16    177
 23   53.8   55.2  01:43   50.9  11:16   11.2    0.0   0.10   12.0   25.6  12:35    246
 24   53.9   58.5  15:37   50.9  01:16   11.1    0.0   0.01    9.0   23.1  04:46    284
 25   53.3   54.7  11:23   52.3  03:08   11.7    0.0   0.00   10.5   26.7  15:55    263
 26   53.1   54.3  12:23   51.6  07:24   11.9    0.0   0.00    9.1   23.4  18:04    254
 27   53.9   56.3  19:26   51.4  08:26   11.1    0.0   0.02   10.3   21.6  21:22    172
 28   53.9   56.1  10:31   52.9  23:28   11.1    0.0   0.00    9.1   22.2  16:49    255
 29   52.1   54.7  18:05   49.8  10:18   12.9    0.0   0.37   12.9   46.1  18:25    125
 30   54.4   60.3  18:08   49.5  00:35   10.6    0.0   0.02    5.8   20.3  14:22     57
 31   53.4   55.6  11:47   51.6  04:43   11.6    0.0   0.02    7.2   24.0  16:55    211
---------------------------------------------------------------------------------------
      53.9   72.3     15   45.5     02  343.4    0.0   6.60    8.9   71.3     01    230
