                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2024


NAME: Cal Sailing Club
ELEV: 13 feet    LAT: 37-51.55 N    LONG: 122-18.96 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   58.5   60.1  23:58   57.0  08:01    6.5    0.0   0.00    8.8   19.9  15:32    242
 02   61.6   66.0  16:42   59.2  01:33    3.4    0.0   0.00    6.7   20.3  16:11    257
 03   62.2   63.9  04:04   60.8  21:57    2.8    0.0   0.00   10.0   21.0  15:53    260
 04   60.7   64.6  06:43   54.9  23:32    4.3    0.0   0.00    8.8   20.9  12:44    257
 05   58.1   61.7  19:50   54.9  01:57    6.9    0.0   0.00    9.9   21.2  16:49    248
 06   58.6   61.9  20:20   56.7  08:15    6.4    0.0   0.00   10.8   21.0  17:45    247
 07   57.9   59.5  18:35   55.8  23:39    7.1    0.0   0.00   10.1   20.6  14:03    246
 08   57.3   58.5  05:58   55.6  00:27    7.7    0.0   0.00   10.7   20.9  20:24    242
 09   58.8   60.1  17:47   57.4  03:58    6.2    0.0   0.00   11.0   21.0  15:31    234
 10   58.0   60.6  22:25   56.5  09:54    7.0    0.0   0.00   10.1   20.9  20:40    248
 11   60.1   63.9  14:44   56.8  05:50    4.9    0.0   0.00   10.3   21.1  18:16    257
 12   57.3   59.4  11:06   54.3  23:52    7.7    0.0   0.00   12.1   21.2  15:20    256
 13   56.6   57.9  15:28   54.0  02:30    8.4    0.0   0.00   11.9   21.0  12:30    255
 14   57.4   58.5  15:58   56.5  00:49    7.6    0.0   0.04   13.5   21.3  17:17    255
 15   58.4   60.6  19:48   56.8  03:17    6.6    0.0   0.01   13.1   21.2  17:16    254
 16   59.7   61.0  14:53   58.6  23:47    5.3    0.0   0.00   11.7   21.3  16:35    253
 17   59.3   63.7  18:29   55.9  07:10    5.7    0.0   0.00    9.5   17.7  00:17    240
 18   59.0   62.2  22:04   56.3  10:26    6.0    0.0   0.00   10.8   21.0  16:54    237
 19   60.1   65.1  18:50   56.1  03:48    4.9    0.0   0.00    9.3   20.6  15:39    248
 20   60.1   64.4  19:07   56.8  23:52    4.9    0.0   0.04    9.6   19.5  21:46    215
 21   56.8   59.9  19:47   54.5  05:23    8.2    0.0   0.00    9.9   19.5  02:41    188
 22   57.1   58.5  20:08   56.3  09:11    7.9    0.0   0.00   10.9   21.1  15:47    260
 23   59.7   62.4  23:25   56.7  01:25    5.3    0.0   0.00    9.2   21.1  16:59    259
 24   62.0   65.8  19:59   59.0  07:50    3.0    0.0   0.00   10.5   19.8  15:40    260
 25   58.9   62.2  20:38   56.3  08:07    6.1    0.0   0.00   10.8   19.2  13:36    253
 26   56.8   59.4  00:27   55.2  19:25    8.2    0.0   0.01   12.7   21.2  14:03    244
 27   56.5   57.2  05:03   55.4  22:55    8.5    0.0   0.00   13.5   21.1  19:33    230
 28   56.6   59.2  10:42   55.2  00:23    8.4    0.0   0.00   11.8   21.3  14:34    236
 29   57.2   58.8  19:15   55.8  07:43    7.8    0.0   0.00   12.3   21.2  18:49    236
 30   58.8   62.1  15:00   57.0  04:39    6.2    0.0   0.00    9.7   21.2  20:11    215
 31   57.6   58.8  11:25   55.8  21:28    7.4    0.0   0.00    9.2   20.1  17:26    233
---------------------------------------------------------------------------------------
      58.6   66.0     02   54.0     13  197.3    0.0   0.10   10.7   21.3     16    245
