                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2024


NAME: Cal Sailing Club
ELEV: 13 feet    LAT: 37-51.55 N    LONG: 122-18.96 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   57.1   60.6  18:56   55.2  06:03    7.9    0.0   0.01    9.0   19.7  16:17    244
 02   58.0   62.1  18:28   55.8  02:05    7.0    0.0   0.04    9.5   19.8  20:48    242
 03   58.6   61.7  19:45   55.8  23:34    6.4    0.0   0.02   10.6   20.3  15:07    248
 04   56.6   58.6  18:20   55.2  08:09    8.4    0.0   0.02    9.7   18.9  06:56    211
 05   56.7   61.3  18:25   54.3  06:59    8.3    0.0   0.04    9.1   18.9  00:33    197
 06   57.8   61.0  17:53   55.0  03:06    7.2    0.0   0.00    9.1   19.7  15:38    243
 07   57.2   58.8  04:25   55.2  21:47    7.8    0.0   0.00   10.6   21.1  12:16    258
 08   56.0   57.9  18:11   54.3  05:24    9.0    0.0   0.03   10.8   21.2  16:37    240
 09   55.9   59.7  17:10   53.2  03:25    9.1    0.0   0.00    9.4   19.4  17:49    226
 10   56.7   59.7  19:20   55.0  01:35    8.3    0.0   0.00   11.1   20.9  15:20    234
 11   55.8   58.3  00:00   54.0  07:46    9.2    0.0   0.00   11.2   21.0  13:43    228
 12   56.9   61.0  16:42   54.1  04:09    8.1    0.0   0.00   10.6   20.9  17:17    213
 13   58.9   63.7  21:20   55.9  07:30    6.1    0.0   0.00    9.1   18.0  16:53    224
 14   58.6   63.5  18:37   55.0  06:06    6.4    0.0   0.00    9.3   20.1  16:37    230
 15   61.6   68.5  16:10   55.8  08:35    3.4    0.0   0.00    6.8   13.8  05:35    171
 16   60.6   63.9  18:25   58.1  05:50    4.4    0.0   0.00    9.6   20.2  20:03    212
 17   62.2   67.3  14:28   59.9  08:15    2.8    0.0   0.00    8.5   18.6  15:37    251
 18   60.5   64.8  21:30   56.7  12:56    4.5    0.0   0.00    9.9   21.2  17:04    249
 19   60.9   65.7  18:22   57.4  07:19    4.1    0.0   0.00    8.9   18.8  16:34    219
 20   62.1   64.6  19:25   59.5  03:35    2.9    0.0   0.00    8.9   21.3  17:06    234
 21   60.5   62.6  18:56   58.3  12:15    4.5    0.0   0.00   10.2   21.0  15:43    209
 22   60.1   61.3  14:47   58.3  03:40    4.9    0.0   0.00   11.7   21.3  14:50    240
 23   60.4   62.2  23:44   58.1  05:02    4.6    0.0   0.02    8.6   19.1  16:41    254
 24   62.7   64.0  03:12   61.3  16:43    2.3    0.0   0.22    7.6   19.5  17:43    247
 25   62.7   65.1  12:22   58.6  06:55    2.3    0.0   0.00    6.8   20.7  14:00    258
 26   61.8   64.4  19:18   58.5  21:16    3.2    0.0   0.00    7.8   21.1  16:29    260
 27   60.3   64.0  17:08   57.0  08:38    4.7    0.0   0.00    6.3   16.9  15:21    260
 28   58.7   63.1  00:04   56.8  13:52    6.3    0.0   0.00   12.1   23.7  16:47    257
 29   59.3   60.8  20:35   57.9  07:27    5.7    0.0   0.00   12.6   23.9  17:00    253
 30   60.2   62.6  17:10   57.4  11:18    4.8    0.0   0.00   11.4   22.8  18:01    240
 31   60.3   63.1  19:02   58.6  08:51    4.7    0.0   0.00   12.5   44.6  14:34    238
---------------------------------------------------------------------------------------
      59.2   68.5     15   53.2     09  179.2    0.0   0.40    9.7   44.6     31    237
