                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2024


NAME: Cal Sailing Club
ELEV: 13 feet    LAT: 37-51.55 N    LONG: 122-18.96 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   61.1   64.4  19:20   58.6  09:15    3.9    0.0   0.00   11.1   39.6  18:05    243
 02   62.0   64.8  20:51   60.4  05:57    3.0    0.0   0.51    9.8   25.3  15:25    241
 03   63.7   68.2  13:12   58.5  22:15    1.3    0.0   0.00    7.3   21.0  16:00    256
 04   58.7   60.3  00:45   57.4  09:50    6.3    0.0   0.00   12.0   25.7  15:53    252
 05   58.8   62.6  16:19   55.9  05:44    6.2    0.0   0.00   10.2   21.9  17:26    258
 06   59.8   62.6  18:16   57.0  10:00    5.2    0.0   0.00    9.0   22.5  16:48    255
 07   57.7   60.4  15:41   55.8  04:16    7.3    0.0   0.00   11.7   23.5  16:35    245
 08   57.6   60.3  15:35   54.9  09:21    7.4    0.0   0.00    8.2   21.9  17:50    253
 09   58.1   60.1  17:44   55.8  03:12    6.9    0.0   0.00   12.1   22.8  15:43    249
 10   58.7   59.5  10:33   56.8  19:17    6.3    0.0   0.00   12.8   47.5  19:51    241
 11   60.1   63.5  18:09   57.4  06:07    4.9    0.0   0.00   12.1   46.8  20:13    222
 12   59.8   64.0  17:57   56.3  08:10    5.2    0.0   0.00    7.4   25.3  16:16    240
 13   57.4   60.4  00:00   54.0  20:30    7.6    0.0   0.00    9.5   43.0  19:22    251
 14   56.1   57.6  20:17   54.7  07:45    8.9    0.0   0.00   10.4   23.5  17:33    239
 15   57.8   60.1  16:37   55.6  07:19    7.2    0.0   1.57   15.9   56.0  18:25    236
 16   57.2   61.0  13:02   55.6  06:40    7.8    0.0   0.00    9.3   21.8  16:02    235
 17   57.7   59.4  12:25   55.8  01:43    7.3    0.0   0.00   10.0   21.0  03:05    231
 18   58.6   60.6  19:15   56.3  23:58    6.4    0.0   0.01    8.4   18.9  15:40    242
 19   56.1   57.9  16:20   54.9  04:15    8.9    0.0   0.00    9.5   21.9  17:57    236
 20   56.3   57.2  07:51   55.6  15:14    8.7    0.0   0.00    9.4   20.3  16:19    239
 21   56.8   58.6  10:05   55.4  04:48    8.2    0.0   0.00   10.8   25.3  15:49    253
 22   56.1   57.9  14:36   54.9  18:14    8.9    0.0   0.53    8.5   24.5  18:51    247
 23   61.1   68.7  13:15   55.0  06:57    3.9    0.0   0.00    3.3   14.1  16:28    266
 24   60.6   66.6  00:00   57.7  14:33    4.4    0.0   0.00   10.8   30.0  17:47    258
 25   58.7   59.7  10:25   56.8  23:25    6.3    0.0   0.00   12.9   23.9  12:35    252
 26   58.6   61.3  20:20   56.3  01:11    6.4    0.0   0.00    7.9   17.9  16:26    231
 27   62.9   68.2  16:25   57.6  06:41    2.1    0.0   0.00    4.2   15.5  16:07    269
 28   57.5   63.3  00:04   55.2  08:49    7.5    0.0   0.00   12.5   47.7  17:38    245
 29   57.5   60.3  18:40   55.4  00:20    7.5    0.0   0.00    8.6   18.8  15:07    239
 30   62.3   67.5  18:01   57.2  05:42    2.7    0.0   0.00    3.6   12.7  15:52    274
---------------------------------------------------------------------------------------
      58.9   68.7     23   54.0     13  184.3    0.0   2.61    9.6   56.0     15    245
