                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2024


NAME: Cal Sailing Club
ELEV: 13 feet    LAT: 37-51.55 N    LONG: 122-18.96 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   68.3   78.8  14:31   62.1  07:20    0.0    3.3   0.00    3.1   15.0  17:11    276
 02   68.5   80.6  13:25   63.1  23:08    0.0    3.5   0.00    3.4   11.5  15:41    271
 03   63.3   72.3  15:40   61.3  22:43    1.7    0.0   0.00    6.4   14.2  17:40    260
 04   62.0   66.9  12:17   58.5  09:12    3.0    0.0   0.00    5.3   25.5  12:55    260
 05   68.6   75.4  17:47   63.0  06:46    0.0    3.6   0.00    2.9   15.2  16:53    278
 06   71.8   79.9  15:18   65.7  07:38    0.0    6.8   0.00    3.1   14.9  15:25    281
 07   66.9   72.3  15:08   63.0  22:40    0.0    1.9   0.00    4.9   14.7  14:38    265
 08   61.8   64.8  01:05   57.2  23:08    3.2    0.0   0.00    8.2   19.5  15:29    247
 09   58.3   62.4  22:16   55.9  07:39    6.7    0.0   0.00    8.3   17.7  14:04    218
 10   58.6   60.6  01:06   54.9  23:55    6.4    0.0   0.00    9.5   20.7  15:22    241
 11   57.2   60.4  20:36   54.5  00:39    7.8    0.0   0.00    7.7   19.9  17:41    237
 12   61.9   64.9  15:22   59.0  02:27    3.1    0.0   0.00    4.9   13.1  18:15    250
 13   62.4   64.0  05:14   59.0  22:46    2.6    0.0   0.00    7.5   22.5  17:48    258
 14   57.9   61.3  22:15   55.2  07:55    7.1    0.0   0.00    8.3   17.7  14:53    235
 15   60.1   61.9  19:57   58.5  09:48    4.9    0.0   0.00    8.2   18.1  16:18    216
 16   60.6   62.4  17:44   59.2  23:58    4.4    0.0   0.01    8.8   21.9  16:05    212
 17   60.6   66.0  17:18   57.0  07:07    4.4    0.0   0.00    6.5   16.2  21:11    261
 18   63.2   69.6  13:50   57.9  07:13    1.8    0.0   0.00    6.6   17.7  00:54    317
 19   63.7   71.4  14:46   58.3  07:32    1.3    0.0   0.00    4.4   13.9  18:06    276
 20   61.0   66.0  14:22   55.4  07:25    4.0    0.0   0.00    4.0   18.5  17:38    273
 21   56.7   60.1  00:00   53.1  04:44    8.3    0.0   0.00    8.8   18.2  17:24    249
 22   56.8   58.6  11:53   54.0  07:44    8.2    0.0   0.00    6.6   17.4  17:29    232
 23   58.1   62.2  17:45   53.2  05:25    6.9    0.0   0.00    4.1   18.1  15:01    261
 24   61.4   65.7  14:59   55.9  04:17    3.6    0.0   0.00    3.9   13.8  14:25    284
 25   59.1   63.5  16:21   53.8  06:01    5.9    0.0   0.00    4.1   18.9  18:28    261
 26   58.9   66.4  14:57   52.9  06:29    6.1    0.0   0.00    4.2   13.6  20:38    247
 27   59.7   61.9  12:43   58.3  21:23    5.3    0.0   0.02    6.8   21.5  16:03    244
 28   57.8   60.4  17:48   56.1  10:41    7.2    0.0   1.56    9.7   23.5  18:05    273
 29   55.4   58.1  16:10   51.3  06:06    9.6    0.0   0.00    6.0   18.9  17:52    257
 30   55.4   58.8  21:31   52.2  06:40    9.6    0.0   0.00    7.6   17.4  16:13    181
 31   55.3   58.8  18:20   51.4  08:28    9.7    0.0   0.01    5.6   20.0  01:10    250
---------------------------------------------------------------------------------------
      60.9   80.6     02   51.3     29  142.9   19.2   1.60    6.1   25.5     04    251
