                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2024


NAME: Cal Sailing Club
ELEV: 13 feet    LAT: 37-51.55 N    LONG: 122-18.96 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   55.2   60.4  18:06   50.9  03:23    9.8    0.0   0.18    7.4   45.7  22:55    161
 02   57.5   60.3  17:43   55.2  07:41    7.5    0.0   0.03    7.7   21.0  00:43    268
 03   58.9   70.5  16:17   53.1  06:45    6.1    0.0   0.00    5.9   16.3  13:11    343
 04   59.3   63.1  15:10   56.8  06:43    5.7    0.0   0.00    4.2   16.0  13:34    287
 05   58.0   65.3  21:50   53.2  03:02    7.0    0.0   0.00    4.3   14.8  23:40    286
 06   63.3   67.6  15:41   56.8  23:49    1.7    0.0   0.27    7.0   34.9  13:50     12
 07   58.7   66.4  16:26   54.7  23:58    6.3    0.0   0.00    4.0   10.5  17:35    267
 08   55.3   59.4  14:30   49.1  06:49    9.7    0.0   0.00    3.6   13.2  15:28    262
 09   54.4   59.2  14:12   48.2  06:29   10.6    0.0   0.00    3.8    9.7  17:48    263
 10   54.6   59.7  23:35   48.6  04:55   10.4    0.0   0.00    3.2   13.1  13:25    253
 11   55.6   59.7  00:05   51.8  10:36    9.4    0.0   0.82    9.1   33.8  09:03    213
 12   54.2   56.7  15:05   52.2  07:25   10.8    0.0   0.00    5.1   12.9  15:06    245
 13   54.2   59.0  14:28   50.4  06:07   10.8    0.0   0.07    7.5   22.0  12:19    133
 14   55.2   57.4  00:00   53.1  23:46    9.8    0.0   0.02    5.8   18.1  15:06    243
 15   52.4   55.9  15:48   48.9  07:45   12.6    0.0   0.00    5.0   15.8  00:21    297
 16   51.2   55.2  13:10   47.5  04:30   13.8    0.0   0.00    5.0   15.2  15:35    280
 17   51.9   55.4  19:31   47.5  06:31   13.1    0.0   0.00    5.2   15.0  23:59    180
 18   51.9   55.9  14:35   46.9  23:55   13.1    0.0   0.00    6.5   18.6  17:56    308
 19   49.8   54.7  23:47   45.3  03:05   15.2    0.0   0.00    4.7   14.9  22:55    160
 20   56.7   59.5  12:35   54.7  00:00    8.3    0.0  42.60   12.9   56.6  13:45    139
 21   59.4   62.1  20:26   55.4  06:20    5.6    0.0  17.88   13.0   52.4  10:31    137
 22   58.8   61.3  05:50   53.8  21:55    6.2    0.0  21.81   13.7   53.5  09:11    133
 23   54.3   55.9  14:34   51.4  22:36   10.7    0.0   0.10    6.1   14.1  09:12    214
 24   53.5   58.5  13:37   48.2  08:00   11.5    0.0   0.00    6.0   13.1  11:08    137
 25   54.3   56.1  00:49   53.2  12:30   10.7    0.0   0.10    4.9   23.1  05:59    169
 26   53.7   55.4  03:31   50.7  23:09   11.3    0.0   0.01    4.4   10.9  06:52    161
 27   54.3   61.7  15:13   48.2  07:48   10.7    0.0   0.00    3.1   10.7  11:29    359
 28   53.8   60.3  14:39   48.0  04:53   11.2    0.0   0.00    3.7   11.4  13:32    292
 29   54.7   60.4  14:03   51.4  22:39   10.3    0.0   0.00    4.5   15.2  14:59    260
 30   54.5   61.5  15:14   47.7  04:32   10.5    0.0   0.00    4.2   15.0  12:03    234
---------------------------------------------------------------------------------------
      55.3   70.5     03   45.3     19  290.3    0.0  83.89    6.1   56.6     20    224
