                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2024


NAME: Cal Sailing Club
ELEV: 13 feet    LAT: 37-51.55 N    LONG: 122-18.96 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   57.1   69.4  15:20   54.0  05:43    7.9    0.0   0.00    3.5    8.8  04:51    249
 02   53.3   61.9  15:20   48.6  05:54   11.7    0.0   0.00    2.5    8.1  16:00    292
 03   53.1   66.2  14:19   48.0  07:12   11.9    0.0   0.00    2.4    9.4  14:11    302
 04   53.0   61.0  14:52   46.6  05:22   12.0    0.0   0.00    2.4   13.4  14:01    289
 05   53.1   60.8  14:59   50.2  04:00   11.9    0.0   0.00    2.1   11.8  16:24    265
 06   53.3   60.3  15:26   48.4  06:05   11.7    0.0   0.00    2.2    8.4  15:39    277
 07   53.0   57.9  15:02   47.5  04:52   12.0    0.0   0.00    2.2    8.9  12:54    289
 08   52.9   59.9  16:28   48.4  07:03   12.1    0.0   0.00    2.0   10.5  17:32    273
 09   53.8   62.4  15:11   47.1  03:24   11.2    0.0   0.00    3.0   14.0  23:54    251
 10   53.4   60.3  15:14   48.2  23:54   11.6    0.0   0.05    3.8   19.3  02:22    323
 11   50.6   55.2  20:35   45.1  05:16   14.4    0.0   0.05    3.6   12.2  23:32    183
 12   53.0   54.9  13:13   49.3  02:09   12.0    0.0   0.62   10.5   43.9  04:57    242
 13   55.1   58.8  21:30   51.8  07:35    9.9    0.0  10.57   11.3   54.5  23:36    132
 14   52.9   56.8  07:40   48.7  23:45   12.1    0.0  36.04   11.6   69.2  09:41    221
 15   48.9   53.4  15:49   46.0  07:39   16.1    0.0   0.00    3.5   14.4  13:23    281
 16   49.8   53.8  17:18   47.1  05:16   15.2    0.0   0.21    4.3   19.8  10:37    112
 17   49.4   52.2  14:56   47.7  08:08   15.6    0.0   0.00    4.5   14.3  14:35    314
 18   50.5   60.8  14:20   42.6  06:36   14.5    0.0   0.00    2.5   14.2  09:00    317
 19   50.8   57.4  14:13   45.3  04:54   14.2    0.0   0.00    2.8   12.1  07:40    269
 20   49.3   52.5  14:20   45.0  07:02   15.7    0.0   0.00    3.0   15.0  18:26    254
 21   53.7   57.4  13:35   50.2  01:46   11.3    0.0   0.04    6.3   38.0  09:23    121
 22   53.2   56.7  21:48   51.6  10:45   11.8    0.0   0.08    4.1   22.0  07:37    288
 23   55.0   59.4  23:49   53.1  06:55   10.0    0.0   0.00    3.5   17.9  17:52      3
 24   53.8   59.9  00:42   48.7  23:58   11.2    0.0   2.67    7.9   53.7  02:20    222
 25   49.3   52.3  17:50   44.6  07:13   15.7    0.0   0.00    3.5   10.8  21:03    148
 26   53.4   58.8  15:02   48.7  05:05   11.6    0.0   0.52   10.0   44.2  22:47    124
 27   55.8   57.7  03:25   54.1  01:02    9.2    0.0   6.48    9.1   57.5  00:48    225
 28   56.9   60.6  16:28   54.3  05:44    8.1    0.0   0.00    6.6   34.6  05:44    139
 29   54.9   58.3  00:00   50.2  23:42   10.1    0.0   1.90    9.7   49.3  08:48    201
 30   50.6   56.5  16:19   46.9  02:42   14.4    0.0   0.00    3.4   10.4  09:38    320
 31   50.4   55.8  15:00   45.0  07:55   14.6    0.0   0.00    3.0    9.8  03:59    304
---------------------------------------------------------------------------------------
      52.7   69.4     01   42.6     18  381.7    0.0  59.22    4.9   69.2     14    224
