                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2025


NAME: Cal Sailing Club
ELEV: 13 feet    LAT: 37-51.55 N    LONG: 122-18.96 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   49.5   51.3  14:25   44.8  03:58   15.5    0.0   0.00    2.6   10.0  16:31    313
 02   52.6   64.2  14:32   47.1  03:25   12.4    0.0   0.00    2.1   10.1  10:54    271
 03   53.3   55.8  15:30   50.4  01:20   11.7    0.0   1.39    6.8   34.0  07:27    181
 04   49.9   52.5  16:40   46.9  05:51   15.1    0.0   0.00    2.2    8.0  12:53    220
 05   50.9   56.8  16:17   46.6  06:39   14.1    0.0   0.00    2.1    8.6  17:12    257
 06   50.5   54.1  19:02   46.9  08:52   14.5    0.0   0.00    3.4   12.3  14:42    277
 07   59.9   67.3  13:52   52.3  00:24    5.1    0.0   0.00    5.8   19.2  23:54    348
 08   57.2   61.7  00:55   51.1  23:09    7.8    0.0   0.00    3.9   14.3  00:04    284
 09   53.7   59.4  15:41   46.2  03:46   11.3    0.0   0.00    2.2    9.1  16:03    252
 10   54.9   63.0  12:40   51.6  23:41   10.1    0.0   0.00    4.7   16.5  18:52    253
 11   56.4   66.2  14:34   48.0  03:08    8.6    0.0   0.00    5.9   20.4  15:27    339
 12   56.5   65.7  14:46   49.5  23:59    8.5    0.0   0.00    4.4   13.6  14:11    347
 13   53.9   60.3  16:15   48.6  01:12   11.1    0.0   0.00    5.8   24.1  10:33     28
 14   48.1   55.2  16:17   43.3  07:00   16.9    0.0   0.00    2.7    8.7  15:42    273
 15   50.2   56.5  16:10   44.6  05:55   14.8    0.0   0.00    2.7   14.1  12:21    267
 16   50.0   56.3  15:04   44.6  03:22   15.0    0.0   0.00    3.8   14.0  13:13    252
 17   49.2   51.1  14:50   46.8  07:44   15.8    0.0   0.00    5.6   15.0  16:07    241
 18   48.2   54.5  16:34   44.2  07:44   16.8    0.0   0.00    2.3   10.5  12:00    283
 19   46.9   51.3  15:30   43.7  03:14   18.1    0.0   0.00    2.9   11.9  17:35    264
 20   52.2   63.5  16:09   41.5  07:03   12.8    0.0   0.00    3.7   19.8  15:15     36
 21   50.6   58.1  16:23   41.5  07:38   14.4    0.0   0.00    3.0   11.4  12:31    298
 22   48.0   60.3  16:31   41.5  05:46   17.0    0.0   0.00    2.0    8.5  11:44    290
 23   57.2   68.4  16:25   46.8  00:21    7.8    0.0   0.07    4.6   19.8  04:27    350
 24   49.9   56.5  14:13   44.6  06:07   15.1    0.0   0.00    4.4   14.8  17:48    251
 25   49.7   52.7  13:07   44.6  08:28   15.3    0.0   0.07    5.1   16.5  18:53    208
 26   50.6   58.3  15:44   46.6  04:32   14.4    0.0   0.00    4.4   20.0  08:05     29
 27   48.4   54.7  16:12   42.1  06:32   16.6    0.0   0.00    4.7   15.4  16:10    217
 28   48.4   51.8  16:44   45.5  07:54   16.6    0.0   0.00    6.3   18.0  16:48    230
 29   49.7   50.5  15:21   48.7  06:56   15.3    0.0   0.00    5.6   14.0  00:24    233
 30   48.5   51.1  14:43   46.6  06:58   16.5    0.0   0.00    2.6    9.3  18:02    272
 31   50.1   54.1  23:38   47.7  03:43   14.9    0.0   0.10    8.7   32.9  13:23    123
---------------------------------------------------------------------------------------
      51.4   68.4     23   41.5     20  419.9    0.0   1.63    4.1   34.0     03    281
