                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2025


NAME: Cal Sailing Club
ELEV: 13 feet    LAT: 37-51.55 N    LONG: 122-18.96 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   55.3   58.5  16:08   53.6  04:44    9.7    0.0   0.71   12.4   28.8  11:07    147
 02   56.8   58.8  23:00   55.6  08:54    8.2    0.0   0.51   13.0   43.6  08:28    142
 03   56.8   58.3  00:18   55.0  21:48    8.2    0.0   3.42   14.1   49.7  17:47    140
 04   53.2   58.1  11:47   47.7  23:36   11.8    0.0  20.34   14.1   63.9  13:03    154
 05   48.5   54.9  16:31   41.7  07:27   16.5    0.0   0.00    3.3   19.6  00:51    278
 06   51.6   59.0  19:04   45.0  07:45   13.4    0.0   6.38   12.2   53.5  15:17    158
 07   50.9   54.5  16:47   46.9  23:51   14.1    0.0   0.05    5.8   19.9  04:29    256
 08   47.8   56.1  17:06   42.6  05:44   17.2    0.0   0.00    4.7   11.7  07:49    329
 09   47.8   54.0  16:32   41.9  06:13   17.2    0.0   0.00    3.4   10.9  18:21    268
 10   46.5   51.8  14:30   39.9  04:59   18.5    0.0   0.00    3.5   15.6  17:03    251
 11   46.8   51.3  15:40   42.4  01:34   18.2    0.0   0.24    7.6   23.0  18:32    213
 12   48.6   52.7  16:59   44.1  07:04   16.4    0.0   0.21    4.5   25.3  23:53     98
 13   54.8   57.4  03:43   52.5  00:00   10.2    0.0  36.14   15.2   68.2  14:31    177
 14   52.1   54.1  16:15   46.4  23:55   12.9    0.0   1.69    8.8   49.0  01:05    272
 15   48.9   55.8  16:59   42.6  06:23   16.1    0.0   0.00    2.8    7.8  14:38    257
 16   49.9   53.1  15:04   46.6  03:41   15.1    0.0   0.01    3.8   13.2  08:06    256
 17   51.3   55.8  15:50   46.8  05:14   13.7    0.0   0.00    3.2   12.7  17:38    255
 18   50.9   54.7  15:02   46.6  06:20   14.1    0.0   0.00    3.2   15.6  16:21    251
 19   53.6   59.7  17:03   50.7  07:40   11.4    0.0   0.00    4.1   15.2  14:24    216
 20   52.5   55.6  15:30   48.7  06:18   12.5    0.0   0.00    4.3   15.1  16:37    286
 21   53.0   56.1  13:42   48.6  05:45   12.0    0.0   0.00    5.1   15.4  16:42    260
 22   52.0   58.6  13:40   47.1  07:09   13.0    0.0   0.00    4.8   22.3  15:43    249
 23   53.3   54.9  12:52   52.2  09:10   11.7    0.0   0.00    4.6   27.8  23:25    232
 24   53.7   57.2  16:55   52.2  03:55   11.3    0.0   0.00    6.3   47.6  01:00    235
 25   53.2   58.6  15:52   48.2  07:05   11.8    0.0   0.00    6.7   17.9  07:41    288
 26   58.8   74.7  16:30   48.0  07:05    6.2    0.0   0.00    2.7   12.1  17:02    305
 27   60.4   74.1  16:24   53.4  01:17    4.6    0.0   0.00    3.8   21.0  17:01    241
 28   56.1   60.3  15:21   49.6  22:04    8.9    0.0   0.00    5.5   23.9  22:33    252
---------------------------------------------------------------------------------------
      52.0   74.7     26   39.9     10  354.6    0.0  69.70    6.6   68.2     13    207
