                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2025


NAME: Cal Sailing Club
ELEV: 13 feet    LAT: 37-51.55 N    LONG: 122-18.96 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   52.6   54.0  12:33   50.0  17:12   12.4    0.0   5.31   14.1   29.2  16:54    262
 02   51.4   56.3  17:11   46.8  06:49   13.6    0.0   0.00    6.9   19.8  16:08    277
 03   52.1   56.7  20:34   48.7  02:23   12.9    0.0   0.06    7.1   20.2  13:48    239
 04   54.6   61.5  19:15   48.6  05:49   10.4    0.0   0.00    6.2   24.3  16:32    256
 05   54.7   58.3  16:05   52.5  05:44   10.3    0.0   0.00    7.2   24.5  17:35    245
 06   54.1   56.7  17:38   51.1  06:37   10.9    0.0   0.00    8.6   21.8  15:10    235
 07   55.1   56.7  02:04   53.6  17:13    9.9    0.0   0.00    9.5   27.4  06:50    237
 08   55.4   58.5  20:29   53.4  09:26    9.6    0.0   0.00    8.7   22.1  17:15    246
 09   56.7   61.9  18:25   52.9  07:02    8.3    0.0   0.00    6.4   17.5  23:49    248
 10   55.6   61.2  19:27   50.4  06:55    9.4    0.0   0.00    8.0   20.3  14:18    239
 11   56.8   59.9  15:08   54.3  08:15    8.2    0.0   0.00    8.1   20.8  17:23    199
 12   54.0   56.7  18:25   50.4  08:00   11.0    0.0   0.00    7.3   16.7  16:37    213
 13   55.1   60.3  18:15   50.5  04:50    9.9    0.0   0.00    6.6   21.3  15:57    248
 14   52.9   56.8  00:00   51.4  09:45   12.1    0.0   0.00   12.2   30.0  20:14    250
 15   53.8   55.6  17:01   52.3  00:02   11.2    0.0   0.00   12.1   21.8  01:59    256
 16   54.0   55.6  19:34   53.1  13:47   11.0    0.0   0.00    9.3   17.7  19:11    252
 17   53.3   54.5  01:27   51.4  07:37   11.7    0.0   0.00    9.3   19.9  20:03    248
 18   52.7   54.3  21:10   50.7  07:08   12.3    0.0   0.00   10.6   22.9  14:56    242
 19   52.3   54.1  11:54   51.1  08:55   12.7    0.0   0.00   10.3   22.2  19:31    239
 20   51.8   53.1  13:41   50.7  20:46   13.2    0.0   0.00    8.2   20.6  17:27    244
 21   53.4   56.3  15:17   50.0  09:31   11.6    0.0   0.00    8.1   22.2  16:08    247
 22   52.4   54.0  00:00   51.3  08:13   12.6    0.0   0.00   12.8   25.7  15:17    241
 23   51.4   52.2  12:51   50.4  09:35   13.6    0.0   0.02   14.5   37.4  04:48    233
 24   51.6   52.5  17:16   50.5  07:28   13.4    0.0   0.00   14.7   22.7  16:35    250
 25   52.2   53.4  19:18   51.3  08:59   12.8    0.0   0.00   10.2   20.8  00:14    253
 26   50.8   52.2  00:00   47.8  05:30   14.2    0.0   0.00    7.1   19.6  17:11    251
 27   52.7   55.2  22:08   51.1  10:25   12.3    0.0   0.00    6.8   15.2  19:07    237
 28   52.0   53.2  17:48   50.5  12:41   13.0    0.0   0.00   10.2   22.7  16:07    239
 29   52.7   53.8  19:37   51.6  05:51   12.3    0.0   0.00    8.8   20.8  14:20    242
 30   53.1   54.5  10:45   51.8  05:36   11.9    0.0   0.19   12.3   33.8  20:25    234
---------------------------------------------------------------------------------------
      53.4   61.9     09   46.8     02  348.8    0.0   5.58    9.4   37.4     23    244
