                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2025


NAME: Cal Sailing Club
ELEV: 13 feet    LAT: 37-51.54 N    LONG: 122-18.96 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   52.4   53.8  00:41   50.2  23:40   12.6    0.0   0.00   13.2   22.7  00:54    247
 02   53.3   55.2  20:30   49.6  01:47   11.7    0.0   0.03   14.3   48.7  13:53    237
 03   55.0   60.4  15:37   52.0  05:57   10.0    0.0   0.12    8.1   22.5  03:57    244
 04   54.8   60.6  18:53   51.4  06:36   10.2    0.0   0.00    5.4   16.1  13:56    237
 05   65.9   79.2  16:30   56.3  23:02    0.0    0.9   0.00    7.6   20.9  17:11    305
 06   54.9   56.3  00:00   54.0  04:40   10.1    0.0   0.00   17.3   29.9  13:16    255
 07   53.9   55.8  09:33   50.7  22:59   11.1    0.0   0.00   13.1   21.8  09:15    249
 08   53.7   57.7  23:32   50.7  00:01   11.3    0.0   0.00    8.5   21.2  18:24    243
 09   55.8   59.9  17:07   54.0  21:53    9.2    0.0   0.00    8.0   19.9  17:01    257
 10   55.6   57.9  23:13   52.7  06:26    9.4    0.0   0.00    9.7   23.9  18:51    244
 11   54.6   56.5  01:32   52.7  10:25   10.4    0.0   0.00   13.0   51.2  14:04    238
 12   55.3   57.2  05:01   52.7  06:56    9.7    0.0   0.24   13.0   23.8  16:09    239
 13   55.2   58.6  16:58   52.9  06:28    9.8    0.0   0.30    9.2   23.3  14:50    249
 14   54.9   57.2  22:15   53.4  08:03   10.1    0.0   0.00   10.1   21.4  13:43    210
 15   55.3   57.0  22:11   54.3  03:19    9.7    0.0   0.00    9.3   22.6  14:51    230
 16   55.9   60.6  18:07   53.8  21:55    9.1    0.0   0.00    9.8   22.4  17:00    199
 17   55.3   58.8  21:35   51.6  04:05    9.7    0.0   0.36   14.4   54.6  13:52    233
 18   57.5   64.6  19:27   53.6  05:37    7.5    0.0   0.00    7.4   21.6  15:43    227
 19   58.9   63.7  14:23   57.4  06:19    6.1    0.0   0.00    6.5   20.7  15:43    237
 20   58.4   62.4  17:47   55.8  06:44    6.6    0.0   0.00    8.1   15.6  16:19    208
 21   56.5   59.9  15:51   54.3  05:16    8.5    0.0   0.00    8.8   25.7  13:55    229
 22   55.9   59.9  13:10   53.8  23:04    9.1    0.0   0.05    9.9   28.4  20:53    184
 23   53.4   55.8  13:35   51.1  06:10   11.6    0.0   0.00   12.2   36.9  15:32    223
 24   53.1   55.8  14:35   51.8  07:07   11.9    0.0   0.23   12.7   47.8  18:07    188
 25   53.6   55.8  19:49   52.5  07:55   11.4    0.0   0.14   14.5   46.7  14:06    265
 26   54.9   57.0  19:25   53.6  10:45   10.1    0.0   0.00   13.5   49.9  15:49    242
 27   53.4   54.9  00:00   52.5  13:06   11.6    0.0   0.00   12.4   22.9  17:26    228
 28   54.5   57.2  19:41   52.9  04:27   10.5    0.0   0.00   13.9   47.8  15:48    235
 29   58.7   63.7  15:04   54.0  02:07    6.3    0.0   0.00    8.3   17.7  19:21    201
 30   57.2   59.5  15:32   54.3  08:56    7.8    0.0   0.00    9.3   23.5  19:33    245
 31   57.6   59.7  18:57   55.8  07:49    7.4    0.0   0.00   11.2   21.4  18:10    251
---------------------------------------------------------------------------------------
      55.7   79.2     05   49.6     02  290.5    0.9   1.47   10.7   54.6     17    237
