                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2025


NAME: Cal Sailing Club
ELEV: 13 feet    LAT: 37-51.54 N    LONG: 122-18.96 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (knots)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   54.5   58.3  00:30   52.3  08:51   10.5    0.0   0.00   11.2   19.8  02:47    221
 02   56.5   57.2  20:20   54.7  00:10    8.5    0.0   0.01   11.2   29.0  14:45    246
 03   55.6   56.5  15:30   54.3  23:55    9.4    0.0   0.00   13.1   23.8  17:26    253
 04   54.9   55.9  23:37   53.2  03:26   10.1    0.0   0.00   13.3   26.2  14:33    252
 05   56.6   57.6  10:57   55.8  00:00    8.4    0.0   0.00   14.4   24.6  13:27    265
 06   56.6   57.4  19:59   55.8  10:23    8.4    0.0   0.00   14.4   25.2  16:58    260
 07   55.1   56.3  18:19   54.0  11:23    9.9    0.0   0.04   13.1   50.9  17:32    258
 08   54.5   55.6  14:30   53.8  19:30   10.5    0.0   0.00   13.4   24.1  19:31    236
 09   54.6   55.9  19:08   53.2  08:53   10.4    0.0   0.00   12.5   52.2  18:59    226
 10   54.5   55.4  13:49   53.2  22:51   10.5    0.0   0.00   14.6   48.2  17:49    225
 11   53.8   55.6  19:10   52.5  09:32   11.2    0.0   0.00   16.0   51.5  14:53    232
 12   53.7   55.9  15:43   51.8  07:16   11.3    0.0   0.00   11.5   26.0  17:16    204
 13   54.5   56.8  19:45   51.3  06:48   10.5    0.0   0.00   12.1   25.7  04:17    217
 14   54.2   55.8  19:10   52.3  07:46   10.8    0.0   0.00   11.1   21.8  18:19    229
 15   54.3   56.5  20:45   52.7  06:55   10.7    0.0   0.00   11.1   44.4  16:12    228
 16   55.0   58.3  21:03   51.1  05:36   10.0    0.0   0.00   10.1   20.8  05:33    199
 17   58.0   62.6  19:33   54.1  06:13    7.0    0.0   0.00    9.3   17.9  18:08    184
 18   57.5   63.1  18:14   52.9  07:09    7.5    0.0   0.00    9.1   17.0  23:34    221
 19   55.9   58.3  21:00   53.8  07:10    9.1    0.0   0.00   10.7   53.7  15:01    184
 20   57.7   62.8  18:24   54.3  03:06    7.3    0.0   0.00   11.0   25.1  22:01    220
 21   59.4   65.7  17:16   54.9  05:53    5.6    0.0   0.00    7.8   18.6  13:05    265
 22   59.0   62.2  18:50   56.3  23:51    6.0    0.0   0.00    7.8   21.2  15:40    234
 23   54.3   56.8  01:45   52.2  12:12   10.7    0.0   0.00   11.4   25.2  18:44    243
 24   54.0   55.4  14:38   53.1  00:14   11.0    0.0   0.00   13.6   39.8  19:33    232
 25   54.0   57.4  18:01   52.7  07:12   11.0    0.0   0.00   10.9   23.3  19:20    222
 26   56.1   60.8  16:32   52.9  00:25    8.9    0.0   0.00    9.8   18.9  04:22    180
 27   57.1   58.6  17:43   55.9  00:00    7.9    0.0   0.00   10.3   20.6  14:41    243
 28   54.4   56.3  00:00   53.1  23:45   10.6    0.0   0.00   13.4   25.9  16:06    257
 29   52.9   54.3  18:16   51.6  07:53   12.1    0.0   0.00   11.4   20.6  15:28    265
 30   53.9   55.8  18:10   52.3  03:36   11.1    0.0   0.00   11.0   22.0  16:20    246
---------------------------------------------------------------------------------------
      55.6   65.7     21   51.1     16  286.8    0.0   0.05   11.7   53.7     19    235
